Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T065_008,SE_T065_009,SE_T065_010,SE_T065_011,SE_T065_012,SE_T065_013,SE_T065_014,SE_T065_015,SE_T065_016,SE_T065_017,SE_T068_001
"3603001","79500US3603001","Rockland County (North)--New City & Congers PUMA, New York","Rockland County (North)--New City & Congers PUMA, New York","ny","795","00","ACSSF","0000376",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03001",,34303,838,794,1269,1233,623,764,759,1084,732,1636,3269,4995,4356,3186,4316,4449,94450
"3603002","79500US3603002","Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York","Rockland County (South)--Orangetown, New York","ny","795","00","ACSSF","0000377",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03002",,36204,1773,1506,1214,1143,812,1135,1030,1020,1190,1612,2812,4755,3987,2872,4111,5232,90017
"3603003","79500US3603003","Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York","Rockland County (West)--Spring Valley, New York","ny","795","00","ACSSF","0000378",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03003",,27452,1491,1820,1576,1257,1113,1208,1115,1240,896,1979,2389,3425,2608,1386,2089,1860,60185
"3603101","79500US3603101","Putnam County PUMA, New York","Putnam County PUMA, New York","ny","795","00","ACSSF","0000379",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03101",,35198,1078,878,1035,888,1126,1314,748,651,819,2046,3088,4448,4351,3702,4443,4583,96318
"3603102","79500US3603102","Westchester County (Northwest) PUMA, New York","Westchester County (Northwest) PUMA, New York","ny","795","00","ACSSF","0000380",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03102",,50241,1999,1955,1980,1841,1409,1420,1353,1526,1677,2679,4507,5667,4581,4004,5785,7858,85486
"3603103","79500US3603103","Westchester County (Northeast) PUMA, New York","Westchester County (Northeast) PUMA, New York","ny","795","00","ACSSF","0000381",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03103",,46705,1026,945,1000,1118,1395,962,1722,1170,765,2197,2732,4721,4561,3720,6032,12639,119295
"3603104","79500US3603104","Westchester County (Southeast) PUMA, New York","Westchester County (Southeast) PUMA, New York","ny","795","00","ACSSF","0000382",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03104",,40223,1675,986,1302,1240,1384,1253,1606,1031,623,2472,3127,3904,3463,2532,3517,10108,96415
"3603105","79500US3603105","Westchester County (Central)--White Plains City PUMA, New York","Westchester County (Central)--White Plains City PUMA, New York","ny","795","00","ACSSF","0000383",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03105",,59356,1514,1744,1700,1627,1248,2198,1477,1843,1274,3254,4155,6578,6000,4695,6434,13615,102782
"3603106","79500US3603106","Westchester County (Southwest)--Yonkers City PUMA, New York","Westchester County (Southwest)--Yonkers City PUMA, New York","ny","795","00","ACSSF","0000384",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03106",,73092,6755,3526,3777,4224,3304,3427,2953,2933,2190,4459,7194,9343,6355,4193,4211,4248,57301
"3603107","79500US3603107","Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York","Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York","ny","795","00","ACSSF","0000385",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03107",,70672,3637,3300,3386,3713,2731,2876,2640,3318,2375,4808,6185,7716,5916,3840,5091,9140,64826
"3603201","79500US3603201","Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York","Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York","ny","795","00","ACSSF","0000386",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03201",,38947,1444,843,1111,1148,939,795,1058,752,903,1943,2939,4097,3515,2730,3853,10877,110028
"3603202","79500US3603202","Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York","Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York","ny","795","00","ACSSF","0000387",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03202",,37836,1064,740,901,1478,988,1352,1112,950,1013,1443,2716,3556,3054,2938,4251,10280,111429
"3603203","79500US3603203","Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York","Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York","ny","795","00","ACSSF","0000388",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03203",,34075,544,562,801,839,1330,667,811,1053,614,1841,2604,4655,4381,3439,4651,5283,102749
"3603204","79500US3603204","Nassau County (West Central)--North Hempstead Town (South) PUMA, New York","Nassau County (West Central)--North Hempstead Town (South) PUMA, New York","ny","795","00","ACSSF","0000389",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03204",,36964,1002,891,964,1027,1200,1201,955,1218,1093,2056,3276,4224,4638,3862,4466,4891,95794
